Product Name,Product ID, Current Price , Unit Cost 
Reiek Peak Wooden Sunglasses (Incl. cork casing),SG0001,  57.95 ,  14.23 
Fibonacci Wooden Sunglasses (Incl. cork casing),SG0002,  61.50 ,  14.23 
Elephant Falls Thermos Bottle ,BT0005,  31.95 ,  8.34 
Saint Elias Thermos bottles,BT0012-13,  32.95 ,  9.31 
Inca Trail Coffee Mugs,BT0015-16,  31.95 ,  8.55 
Woodland Mouse Phone Stand,PS0007,  18.95 ,  3.01 
Tiger Trail Notebooks,NB0011-12,  25.95 ,  6.79 
Papillon Notebooks,NB0013-15,  23.95 ,  5.21 
Jim Corbett Lunchbox Band 1200ML,LB0017,  32.95 ,  19.45 
Jim Corbett Lunchbox Band 800ML,LB0019,  30.95 ,  7.59 
Timeless Silk Colored Stole,SH0017-26,  73.95 ,  39.48 
Silk Uncut White Stole,SH0025,  114.95 ,  33.92 
